epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26262,1.684,3.50102,2.10935,0.00342,1,0.18604,0.09034,0.91279,3.2853,2.18321,6.25e-05,6.25e-05,6.25e-05
2,5.43324,1.29952,3.32236,1.85284,0.00362,1,0.35132,0.23861,0.78957,3.25149,1.75753,0.000134777,0.000134777,0.000134777
3,7.79516,0.78538,2.97311,1.43807,0.00341,1,0.33987,0.28125,0.55315,3.18025,1.28415,0.000204085,0.000204085,0.000204085
4,10.1846,0.56101,2.68871,1.22205,0.00334,1,0.35291,0.28668,0.57327,3.0785,1.15039,0.000270422,0.000270422,0.000270422
5,12.2145,0.51283,2.45548,1.17203,0.00326,1,0.44635,0.38003,0.6138,2.96755,1.05424,0.00033379,0.00033379,0.00033379
6,14.5062,0.49049,2.17209,1.08572,0.00355,1,0.45034,0.38555,0.73175,3.13348,1.08612,0.000394188,0.000394188,0.000394188
7,16.84,0.4499,2.00666,1.10644,0.0036,1,0.58164,0.53981,0.39382,2.54546,0.80211,0.000451615,0.000451615,0.000451615
8,19.2797,0.4881,1.83645,1.06932,0.81087,0.25,0.67092,0.41888,1.16509,2.52838,1.58185,0.000506072,0.000506072,0.000506072
9,21.5997,0.46616,1.75279,1.09166,0.43177,0.64051,0.70023,0.57437,0.66737,2.09208,1.2431,0.00055756,0.00055756,0.00055756
10,23.7609,0.38492,1.53746,1.02907,0.66688,0.59301,0.70999,0.458,1.10948,2.26418,2.10751,0.000606078,0.000606078,0.000606078
11,26.0382,0.37056,1.53908,1.03485,0.80069,0.57292,0.68802,0.45591,1.18187,2.36285,1.74883,0.000651625,0.000651625,0.000651625
12,28.4736,0.39866,1.55143,1.02427,0.33587,0.95833,0.83469,0.34324,1.24575,3.19132,1.44963,0.000694203,0.000694203,0.000694203
13,30.6537,0.38884,1.46878,1.01871,0.39247,0.94185,0.67052,0.20061,1.43999,4.33923,1.51999,0.00073381,0.00073381,0.00073381
14,32.9043,0.40965,1.43746,1.04716,0.46118,0.875,0.69819,0.49548,0.82666,2.98866,1.17508,0.000770448,0.000770448,0.000770448
15,35.2894,0.41798,1.5898,1.05484,0.57207,0.93297,0.86703,0.80113,0.57429,1.65983,1.08385,0.000804115,0.000804115,0.000804115
16,37.4636,0.34644,1.40324,1.00205,0.44761,0.91647,0.63169,0.57176,0.43325,2.39979,0.85838,0.000834813,0.000834813,0.000834813
17,39.6298,0.35192,1.44535,1.00409,0.51896,0.92765,0.73796,0.6621,0.45648,1.89801,0.86021,0.000854,0.000854,0.000854
18,41.9265,0.3232,1.37474,1.00442,0.77168,1,0.98111,0.7994,0.75915,1.40067,1.27004,0.00082925,0.00082925,0.00082925
19,43.9777,0.37211,1.29029,0.99483,0.65445,0.99374,0.95893,0.75355,0.64067,1.63145,0.9989,0.0008045,0.0008045,0.0008045
20,46.1875,0.31103,1.23247,0.96909,0.62773,0.91584,0.87738,0.83228,0.35694,1.48955,0.76882,0.00077975,0.00077975,0.00077975
21,48.3479,0.36596,1.33118,1.00622,0.68406,0.84916,0.82952,0.77961,0.33077,1.34844,0.73776,0.000755,0.000755,0.000755
22,50.5344,0.31562,1.31549,0.98342,0.8589,0.99134,0.95375,0.92986,0.24431,0.90847,0.61637,0.00073025,0.00073025,0.00073025
23,52.6546,0.31408,1.31177,0.97802,0.80222,0.97376,0.96866,0.95715,0.24004,0.88033,0.56066,0.0007055,0.0007055,0.0007055
24,54.9059,0.31119,1.35726,0.99774,0.73432,0.95833,0.94375,0.94375,0.18615,1.0431,0.46868,0.00068075,0.00068075,0.00068075
25,57.0087,0.3205,1.31422,1.0125,0.75353,0.94263,0.9245,0.9245,0.17222,1.01432,0.45435,0.000656,0.000656,0.000656
26,59.2727,0.29836,1.31829,0.97205,0.67735,0.84524,0.8604,0.8604,0.18868,1.04008,0.50257,0.00063125,0.00063125,0.00063125
27,61.4383,0.2823,1.17038,0.95151,0.72788,0.9726,0.92879,0.89344,0.30676,0.96813,0.61374,0.0006065,0.0006065,0.0006065
28,63.6844,0.30048,1.17482,0.98821,0.63945,0.92857,0.91835,0.84416,0.39892,1.05464,0.69769,0.00058175,0.00058175,0.00058175
29,66.0094,0.30758,1.19269,0.9876,0.61503,0.97445,0.91397,0.82693,0.40465,1.08933,0.68943,0.000557,0.000557,0.000557
30,68.4431,0.28313,1.16817,0.96751,0.67106,0.99698,0.92054,0.89109,0.33737,1.01354,0.59618,0.00053225,0.00053225,0.00053225
31,70.566,0.27657,1.08891,0.95898,0.67827,1,0.92054,0.91425,0.2351,0.94767,0.51677,0.0005075,0.0005075,0.0005075
32,72.7911,0.29046,1.19485,0.96896,0.8376,0.93174,0.96438,0.96438,0.17642,0.81681,0.45935,0.00048275,0.00048275,0.00048275
33,74.9198,0.31107,1.0826,0.9661,0.98106,0.9467,0.98929,0.98929,0.16312,0.75895,0.43312,0.000458,0.000458,0.000458
34,77.2156,0.29247,1.06808,0.97358,0.86048,0.87213,0.92036,0.92036,0.24954,0.86692,0.49036,0.00043325,0.00043325,0.00043325
35,79.4745,0.26486,1.04905,0.94299,0.97423,0.98683,0.995,0.995,0.23192,0.79941,0.48075,0.0004085,0.0004085,0.0004085
36,81.8467,0.27087,1.06871,0.97015,0.97443,0.98063,0.995,0.995,0.18465,0.81144,0.47962,0.00038375,0.00038375,0.00038375
37,83.8813,0.24073,1.10306,0.94371,0.9708,0.9852,0.995,0.995,0.18005,0.85074,0.49162,0.000359,0.000359,0.000359
38,86.1614,0.27223,1.06892,0.97371,0.8463,0.87567,0.96429,0.96086,0.21501,0.94642,0.53347,0.00033425,0.00033425,0.00033425
39,88.3981,0.26755,1.07815,0.96648,0.78458,0.91419,0.91672,0.91672,0.20008,1.00563,0.50987,0.0003095,0.0003095,0.0003095
40,90.524,0.24082,1.00303,0.94403,0.75087,0.90286,0.93604,0.93604,0.19998,1.03721,0.49315,0.00028475,0.00028475,0.00028475
41,100.483,0.28255,1.4962,1.03312,0.85756,0.88172,0.985,0.985,0.20233,0.98733,0.49867,0.00026,0.00026,0.00026
42,102.79,0.26877,1.33887,1.00294,0.8805,0.8889,0.98929,0.98929,0.19827,1.05981,0.52044,0.00023525,0.00023525,0.00023525
43,104.973,0.21908,1.48012,0.96157,0.87754,0.94655,0.98929,0.98929,0.20443,1.04841,0.53212,0.0002105,0.0002105,0.0002105
44,107,0.23195,1.3811,1.02637,0.96484,0.87919,0.985,0.985,0.19133,0.87476,0.50217,0.00018575,0.00018575,0.00018575
45,109.32,0.18979,1.36037,0.92859,0.97178,0.89551,0.985,0.985,0.17611,0.80301,0.48319,0.000161,0.000161,0.000161
46,111.467,0.20907,1.25188,0.95181,0.95331,0.93813,0.985,0.985,0.14291,0.73731,0.44525,0.00013625,0.00013625,0.00013625
47,113.419,0.21468,1.14364,0.98815,0.96408,0.95833,0.985,0.985,0.13661,0.73837,0.43772,0.0001115,0.0001115,0.0001115
48,115.641,0.21534,1.14808,1.01692,0.96458,0.95833,0.985,0.985,0.14261,0.7424,0.44424,8.675e-05,8.675e-05,8.675e-05
49,117.727,0.22514,1.19166,1.00777,0.96504,0.95583,0.985,0.985,0.13992,0.73675,0.44523,6.2e-05,6.2e-05,6.2e-05
50,119.812,0.20211,1.24072,0.95306,0.96088,0.95833,0.985,0.985,0.13065,0.71447,0.44411,3.725e-05,3.725e-05,3.725e-05
