epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9513,1.27013,2.87223,1.80863,0.00174,0.02805,0.00096,0.0001,3.26515,inf,6.3117,0.000404762,0.000404762,0.000404762
2,31.1785,1.40087,2.33005,1.84187,0.00098,0.01064,0.00051,0.00013,nan,nan,nan,0.000805164,0.000805164,0.000805164
3,46.374,1.47178,2.36984,1.90822,0.00374,0.06439,0.0031,0.00105,4.25188,75.9631,40.5927,0.00118907,0.00118907,0.00118907
4,61.6275,1.43403,2.19448,1.86755,0.20583,0.37636,0.24393,0.12394,2.33732,2.77536,4.31039,0.00117575,0.00117575,0.00117575
5,76.6781,1.4496,1.97533,1.87561,0.09566,0.20181,0.09868,0.01916,3.24453,3.05803,7.19526,0.001151,0.001151,0.001151
6,91.3603,1.43997,1.94298,1.83676,0.17203,0.1694,0.14518,0.03931,3.74316,3.58199,4.11526,0.00112625,0.00112625,0.00112625
7,106.206,1.26204,1.7349,1.7066,0.00286,0.19729,0.00197,0.00074,2.14622,inf,2.49994,0.0011015,0.0011015,0.0011015
8,120.947,1.30459,1.77183,1.71055,0.72267,0.36175,0.43269,0.25532,1.51939,2.30907,1.86672,0.00107675,0.00107675,0.00107675
9,136.323,1.30857,1.74435,1.71179,0.47594,0.69197,0.50993,0.37136,1.05076,1.62441,1.43077,0.001052,0.001052,0.001052
10,151.628,1.31371,1.59965,1.73103,0.3923,0.63,0.60019,0.39783,1.40689,1.97216,1.75553,0.00102725,0.00102725,0.00102725
11,167.1,1.16955,1.56065,1.58259,0.6057,0.71921,0.76235,0.56345,1.15363,1.47402,1.48491,0.0010025,0.0010025,0.0010025
12,182.223,1.11483,1.52301,1.52796,0.29955,0.70141,0.42045,0.29245,1.13809,1.73517,1.46111,0.00097775,0.00097775,0.00097775
13,196.946,1.10928,1.46218,1.51136,0.41409,0.64992,0.62858,0.50186,1.11389,1.63169,1.41162,0.000953,0.000953,0.000953
14,211.483,1.19059,1.50268,1.57248,0.3665,0.61163,0.60561,0.46778,1.46117,1.77921,1.79077,0.00092825,0.00092825,0.00092825
15,226.217,1.10545,1.43894,1.57127,0.53256,0.73201,0.73829,0.56743,1.24335,1.41222,1.46309,0.0009035,0.0009035,0.0009035
16,241.236,1.14379,1.4612,1.53633,0.69995,0.72985,0.80271,0.64389,1.02787,1.35134,1.32483,0.00087875,0.00087875,0.00087875
17,256.366,1.04254,1.38776,1.47815,0.58899,0.75456,0.73727,0.58977,1.01811,1.4353,1.32044,0.000854,0.000854,0.000854
18,271.073,1.06609,1.43183,1.48097,0.47349,0.68522,0.75063,0.57735,0.95285,1.43613,1.25531,0.00082925,0.00082925,0.00082925
19,285.513,0.98712,1.36488,1.48169,0.49079,0.67608,0.71162,0.53464,1.17017,1.37109,1.41471,0.0008045,0.0008045,0.0008045
20,299.992,0.97886,1.35456,1.45328,0.6387,0.65563,0.70397,0.52476,1.19408,1.35512,1.4979,0.00077975,0.00077975,0.00077975
21,314.536,1.02455,1.39613,1.50657,0.50163,0.64661,0.69577,0.58457,0.946,1.40987,1.26779,0.000755,0.000755,0.000755
22,329.46,1.01619,1.33573,1.45863,0.6635,0.61631,0.7284,0.58237,1.09206,1.31622,1.40584,0.00073025,0.00073025,0.00073025
23,344.446,0.99293,1.2973,1.43611,0.41453,0.6596,0.69117,0.53712,1.09142,1.36931,1.37791,0.0007055,0.0007055,0.0007055
24,359.083,1.0289,1.33705,1.46515,0.22321,0.72784,0.45094,0.33821,0.98144,1.7855,1.28532,0.00068075,0.00068075,0.00068075
25,373.582,1.00871,1.29243,1.46937,0.50646,0.7211,0.76423,0.63434,0.96579,1.24814,1.26178,0.000656,0.000656,0.000656
26,388.19,0.96559,1.3144,1.38077,0.5764,0.68286,0.76895,0.62417,1.07028,1.22226,1.32589,0.00063125,0.00063125,0.00063125
