epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7622,1.26782,2.83542,1.78414,0.13235,0.47044,0.1747,0.10964,1.62862,71.5452,2.92176,0.000404762,0.000404762,0.000404762
2,30.5249,1.36457,2.22267,1.7973,0.00481,0.179,0.00319,0.00113,3.04004,inf,8.4595,0.000805164,0.000805164,0.000805164
3,46.0105,1.47324,2.09138,1.87927,9e-05,0.00532,5e-05,1e-05,3.83766,inf,33.0858,0.00118907,0.00118907,0.00118907
4,61.695,1.41749,2.01363,1.83153,0.00094,0.05851,0.00058,0.00024,3.77067,inf,5.55346,0.00117575,0.00117575,0.00117575
5,77.1869,1.45729,1.94752,1.85258,0.14977,0.37879,0.23129,0.11763,2.02515,5.18781,2.77877,0.001151,0.001151,0.001151
6,92.9673,1.37137,1.86522,1.78246,0.46982,0.6625,0.60293,0.34707,1.57145,2.76165,2.07569,0.00112625,0.00112625,0.00112625
7,108.878,1.30014,1.65868,1.73148,0.48718,0.54421,0.53121,0.33483,1.79484,4.54596,2.37802,0.0011015,0.0011015,0.0011015
8,123.867,1.24611,1.66226,1.65782,0.5087,0.72986,0.69682,0.5042,1.21248,1.69429,1.50349,0.00107675,0.00107675,0.00107675
9,139.528,1.1684,1.54876,1.59032,0.47772,0.73846,0.61708,0.46297,1.36785,1.89092,1.69353,0.001052,0.001052,0.001052
10,155.049,1.24122,1.56864,1.66483,0.1917,0.81044,0.50016,0.34154,1.36796,2.1862,1.72455,0.00102725,0.00102725,0.00102725
11,170.174,1.14848,1.44514,1.57668,0.50019,0.65873,0.70499,0.54715,1.16074,1.46973,1.51153,0.0010025,0.0010025,0.0010025
12,185.611,1.11987,1.42523,1.54272,0.47153,0.67599,0.69746,0.56179,1.07282,1.54474,1.43451,0.00097775,0.00097775,0.00097775
13,201.003,1.05816,1.37465,1.47965,0.71611,0.6115,0.59327,0.46198,0.98558,1.61327,1.31872,0.000953,0.000953,0.000953
14,215.723,1.09538,1.40508,1.52712,0.67316,0.70015,0.74995,0.57441,1.1117,1.2682,1.46512,0.00092825,0.00092825,0.00092825
15,231.321,0.99933,1.39055,1.48847,0.47903,0.7824,0.74613,0.59429,0.99156,1.17356,1.37358,0.0009035,0.0009035,0.0009035
16,248.354,1.04684,1.36333,1.47924,0.50066,0.75725,0.71071,0.60223,0.95014,1.30845,1.33705,0.00087875,0.00087875,0.00087875
17,264.797,1.03161,1.32583,1.46955,0.58024,0.80658,0.7682,0.65467,0.98961,1.24226,1.35677,0.000854,0.000854,0.000854
18,280.618,1.07075,1.31964,1.51118,0.54366,0.77405,0.7781,0.6375,0.9545,1.27902,1.28011,0.00082925,0.00082925,0.00082925
19,295.672,1.00686,1.28528,1.51065,0.62279,0.79612,0.83182,0.67679,1.02936,1.17125,1.3261,0.0008045,0.0008045,0.0008045
20,311.342,1.02052,1.32243,1.48747,0.41298,0.68326,0.64547,0.55171,0.89275,1.56103,1.25673,0.00077975,0.00077975,0.00077975
21,326.604,0.93168,1.26241,1.42539,0.56862,0.77134,0.78341,0.65701,0.88726,1.22921,1.22914,0.000755,0.000755,0.000755
22,341.676,1.01122,1.30179,1.45987,0.54285,0.70205,0.7068,0.58779,0.89735,1.43025,1.23238,0.00073025,0.00073025,0.00073025
23,356.851,0.98286,1.22139,1.43167,0.6351,0.75304,0.75868,0.64983,0.92909,1.13561,1.25391,0.0007055,0.0007055,0.0007055
24,372.102,0.93456,1.2291,1.38049,0.63256,0.73913,0.75669,0.65634,0.85853,1.09082,1.20925,0.00068075,0.00068075,0.00068075
25,387.338,1.00531,1.21122,1.46588,0.87226,0.62578,0.74114,0.60699,0.90831,1.08522,1.26094,0.000656,0.000656,0.000656
26,402.69,0.95952,1.20171,1.39628,0.77241,0.67988,0.77549,0.67934,0.90307,1.06143,1.23837,0.00063125,0.00063125,0.00063125
27,417.656,0.94392,1.2052,1.39364,0.69476,0.70737,0.78154,0.632,0.90277,1.07519,1.26758,0.0006065,0.0006065,0.0006065
28,432.839,0.91882,1.15293,1.36957,0.473,0.70153,0.6894,0.56767,0.89984,1.18927,1.25721,0.00058175,0.00058175,0.00058175
29,448.044,0.90054,1.14284,1.38028,0.5636,0.58388,0.69254,0.59541,0.81657,1.12304,1.19412,0.000557,0.000557,0.000557
